iter	Passed	Remaining
727	3629	1355
728	3634	1350
729	3638	1345
730	3644	1341
731	3649	1336
732	3654	1331
733	3660	1326
734	3665	1321
735	3670	1316
736	3675	1311
737	3681	1306
738	3686	1301
739	3691	1296
740	3696	1291
741	3701	1287
742	3706	1282
743	3715	1278
744	3720	1273
745	3726	1268
746	3731	1263
747	3736	1258
748	3741	1253
749	3745	1248
750	3750	1243
751	3755	1238
752	3761	1233
753	3766	1228
754	3771	1223
755	3776	1218
756	3780	1213
757	3785	1208
758	3790	1203
759	3795	1198
760	3800	1193
761	3805	1188
762	3810	1183
763	3815	1178
764	3820	1173
765	3824	1168
766	3829	1163
767	3833	1158
768	3838	1153
769	3843	1148
770	3848	1142
771	3852	1137
772	3857	1132
773	3862	1127
774	3867	1122
775	3872	1117
776	3877	1112
777	3882	1107
778	3887	1102
779	3892	1097
780	3897	1092
781	3902	1087
782	3906	1082
783	3911	1077
784	3916	1072
785	3920	1067
786	3925	1062
787	3929	1057
788	3934	1052
789	3939	1047
790	3944	1042
791	3948	1037
792	3953	1032
793	3958	1027
794	3963	1022
795	3968	1016
796	3973	1011
797	3978	1007
798	3982	1001
799	3987	996
800	3992	991
801	3997	986
802	4002	981
803	4007	976
804	4012	971
805	4017	966
806	4021	961
807	4026	956
808	4031	951
809	4036	946
810	4040	941
811	4045	936
812	4051	931
813	4056	926
814	4061	921
815	4065	916
816	4070	911
817	4075	906
818	4080	901
819	4085	896
820	4090	891
821	4095	886
822	4100	881
823	4104	876
824	4109	871
825	4114	866
826	4119	861
827	4123	856
828	4128	851
829	4133	846
830	4138	841
831	4142	836
832	4147	831
833	4152	826
834	4157	821
835	4162	816
836	4166	811
837	4171	806
838	4176	801
839	4181	796
840	4186	791
841	4191	786
842	4197	781
843	4202	776
844	4206	771
845	4211	766
846	4216	761
847	4221	756
848	4226	751
849	4231	746
850	4236	741
851	4240	736
852	4245	731
853	4250	726
854	4255	721
855	4260	716
856	4265	711
857	4269	706
858	4274	701
859	4279	696
860	4284	691
861	4289	686
862	4294	681
863	4298	676
864	4303	671
865	4308	666
866	4312	661
867	4317	656
868	4322	651
869	4327	646
870	4332	641
871	4337	636
872	4342	631
873	4347	626
874	4352	621
875	4358	616
876	4363	611
877	4367	606
878	4372	601
879	4377	596
880	4382	592
881	4387	587
882	4392	582
883	4397	577
884	4402	572
885	4407	567
886	4411	562
887	4416	557
888	4421	552
889	4426	547
890	4431	542
891	4435	537
892	4440	532
893	4445	527
894	4450	522
895	4455	517
896	4460	512
897	4464	507
898	4469	502
899	4473	497
900	4478	492
901	4483	487
902	4488	482
903	4493	477
904	4498	472
905	4503	467
906	4508	462
907	4513	457
908	4518	452
909	4523	447
910	4527	442
911	4532	437
912	4537	432
913	4542	427
914	4547	422
915	4551	417
916	4556	412
917	4561	407
918	4566	402
919	4571	397
920	4576	392
921	4581	387
922	4586	382
923	4591	377
924	4596	372
925	4601	367
926	4607	362
927	4612	357
928	4617	352
929	4622	347
930	4627	342
931	4633	338
932	4638	333
933	4643	328
934	4648	323
935	4653	318
936	4658	313
937	4664	308
938	4670	303
939	4675	298
940	4681	293
941	4686	288
942	4691	283
943	4696	278
944	4701	273
945	4706	268
946	4711	263
947	4715	258
948	4721	253
949	4725	248
950	4730	243
951	4735	238
952	4740	233
953	4744	228
954	4749	223
955	4754	218
956	4759	213
957	4764	208
958	4769	203
959	4774	198
960	4779	193
961	4784	188
962	4789	184
